지하철역,호선,유임승차인원,무임승차인원,유임하차인원,무임하차인원
명일,5호선,180015.3656,59357.92473,183574.4086,61276.76344
목동,5호선,434550.3333,79895.93548,470332.9892,81755.03226
미사,5호선,317659.375,53478.16667,315695.3333,53382.54167
발산,5호선,410386.8602,72284.68817,421233.4624,69680.10753
방이,5호선,165914.0753,41664.88172,169112.5269,41318
방화,5호선,161806.9892,46667.89247,152571.2043,44859.53763
상일동,5호선,309141.1075,68473.23656,260068.5914,65214.8172
서대문,5호선,431177.3118,64928.80645,443324.4301,61791.01075
송정,5호선,191136.3333,55716.04301,181330.0645,56115.36559
신금호,5호선,142982.7097,35560.33333,141428.6452,39817.4086
신길,5호선,86606.65591,11218.63441,97830.98925,11814.12903
신정,5호선,381067.7,56250.4,293028.2,54826.5
신정(은행정),5호선,340444.5301,55523.42169,256651.4217,52781.06024
아차산,5호선,367240.3,88476.9,346907.3,82759.1
아차산(어린이대공원후문),5호선,342980.3133,90746.89157,328190.6386,88176.33735
애오개,5호선,163094.4839,36933.48387,163742.2688,35647.78495
양평,5호선,160664.9247,26865.15054,158902.3441,26559.01075
여의나루,5호선,304006.7957,28516.47312,327490.2581,28000.27957
여의도,5호선,622487.4301,49813.6129,679545.0645,48235.76344
영등포구청,5호선,82354.52688,18849.37634,84774.19355,18409.08602
영등포시장,5호선,197528.9032,69418.15054,211607.9032,71060.43011
오금,5호선,87682.66667,17508.09677,86974.19355,17065.36559
오목교,5호선,674100.1,80355.2,729764.6,78889.7
오목교(목동운동장앞),5호선,593848.7831,80113.13253,645941.6867,79381.49398
올림픽공원,5호선,191738,33319.8,193051.8,29976.2
올림픽공원(한국체대),5호선,122181.3133,32058.61446,115680.2771,29395.3253
왕십리(성동구청),5호선,117456.2903,23866.78495,141253.5269,23291.08602
우장산,5호선,356581.5484,80071.34409,347587.0968,83171.04301
을지로4가,5호선,109400.4409,40696.47312,120600.0323,41336.08602
장한평,5호선,432400.6882,89235.07527,428411.7742,90282.94624
종로3가,5호선,311795.1183,106111.5269,298591.0645,111127.7204
천호,5호선,496786.5,142287.7,524678,151518.5
천호(풍납토성),5호선,440886.0482,129504.7229,451110.6867,136604.4458
청구,5호선,91482.76344,25297.56989,87117.04301,19868.95699
충정로,5호선,119717.4,16120.3,122283.1,16879.1
충정로(경기대입구),5호선,112522.988,15158.49398,113103.6386,15699.19277
하남검단산,5호선,105583.7647,37738.94118,101709.7059,37696.47059
하남시청(덕풍?신장),5호선,108655.5882,47530.41176,104284.4118,48455.35294
하남풍산,5호선,87517.125,20522.125,87367.375,20844.45833
행당,5호선,194071.3656,46394.8172,169310.4409,42038.31183
화곡,5호선,706653.6559,135371.6344,648315.9785,129645.5376
고려대,6호선,264824,35080.1,253935.6,35544.3
고려대(종암),6호선,227069.6747,33210.49398,217788.2651,33491.36145
